pl_name,pl_rade,pl_bmasse
"K2-3 b",2.07800000,5.11000000
"LTT 9779 b",4.72000000,29.32000000
"HD 15337 c",2.52600000,6.79200000
"TOI-270 b",1.28000000,1.48000000
"HIP 8152 b",2.53625843,8.90000000
"HIP 8152 b",2.56000000,7.80000000
"TOI-5616 b",10.78000000,624.00000000
"HD 23472 d",0.75000000,0.55000000
"KELT-3 b",15.13212395,467.20775829
"WASP-50 b",12.89032781,467.20775829
"HAT-P-16 b",13.33871000,1331.38987000
"KELT-14 b",17.03768000,380.12468000
"WASP-48 b",18.71903000,312.74472000
"TrES-2 b",13.95520500,457.67520000
"CoRoT-1 b",15.91678000,340.07810000
"HAT-P-1 b",14.78467100,168.13207000
"HAT-P-22 b",12.10572000,682.69884000
"WASP-1 b",16.24184100,268.88418000
"WASP-33 b",18.81991100,1042.48240000
"WASP-36 b",14.87434300,750.39663000
"GJ 436 b",4.10000000,25.40000000
"KOI-13 b",20.85000000,2637.88000000
"WASP-67 b",12.22900000,129.03400000
"WASP-104 b",12.74500000,404.26300000
"WASP-94 A b",19.28000000,143.65300000
"WASP-28 b",15.17700000,285.71700000
"HD 209458 b",16.26400000,203.40000000
"XO-2 N b",11.42200000,189.73700000
"TrES-2 b",13.37233700,383.30298000
"CoRoT-1 b",17.38515900,327.36490000
"HD 80606 b",11.24262700,1307.55262000
"WASP-7 b",15.27786700,305.11680000
"WASP-3 b",15.87194400,645.19490000
"HAT-P-35 b",14.93038800,335.62848000
"HD 114082 b",11.20898070,2542.62725600
"WASP-58 b",15.35633000,285.72917000
"WASP-100 b",18.94000000,645.17000000
"TOI-2134 b",2.69000000,9.13000000
"TIC 257060897 b",16.70138124,212.94503269
"TOI-2447 b",9.60609646,124.90656395
"V1298 Tau c",5.15613112,76.27881768
"TOI-411 b",1.36200000,13.71000000
"V1298 Tau b",9.41000000,13.10000000
"LTT 9779 b",4.72000000,29.32000000
"WASP-72 b",14.45961000,731.00900000
"TOI-1898 b",9.71000000,148.30000000
